iter	Passed	Remaining
0	8	3292
1	14	2972
2	21	2868
3	28	2779
4	35	2770
5	41	2725
6	47	2688
7	54	2660
8	60	2628
9	66	2605
10	73	2585
11	79	2564
12	85	2542
13	91	2531
14	97	2514
15	104	2498
16	110	2484
17	116	2479
18	123	2478
19	130	2474
20	137	2475
21	144	2489
22	151	2487
23	157	2472
24	163	2455
25	170	2448
26	176	2443
27	183	2436
28	190	2434
29	196	2428
30	203	2417
31	209	2410
32	216	2403
33	222	2391
34	228	2382
35	234	2375
36	241	2365
37	247	2355
38	253	2347
39	258	2328
40	264	2316
41	271	2312
42	278	2309
43	295	2393
44	304	2403
45	312	2401
46	318	2395
47	327	2398
48	333	2389
49	349	2444
50	355	2434
51	362	2425
52	379	2482
53	388	2488
54	406	2549
55	413	2540
56	419	2527
57	426	2512
58	432	2498
59	438	2482
60	443	2465
61	449	2451
62	455	2436
63	461	2425
64	468	2414
65	475	2405
66	481	2393
67	487	2382
68	494	2371
69	501	2362
70	507	2351
71	513	2339
72	521	2335
73	527	2325
74	534	2316
75	540	2305
76	546	2293
77	553	2283
78	559	2274
79	566	2264
80	572	2253
81	578	2243
82	585	2235
83	591	2226
84	603	2235
85	610	2227
86	626	2252
87	649	2301
88	656	2292
89	661	2280
90	671	2279
91	678	2273
92	686	2265
93	692	2255
94	699	2245
95	705	2235
96	712	2224
97	718	2214
98	725	2204
99	731	2194
100	738	2185
101	744	2175
102	750	2164
103	757	2154
104	764	2148
105	771	2140
106	779	2133
107	785	2122
108	791	2113
109	799	2108
110	808	2105
111	815	2096
112	821	2087
113	828	2077
114	843	2091
115	853	2088
116	859	2079
117	866	2070
118	872	2060
119	879	2052
120	885	2042
121	891	2032
122	898	2023
123	905	2015
124	920	2026
125	927	2017
126	933	2006
127	942	2003
128	959	2015
129	965	2006
130	972	1997
131	978	1986
132	985	1977
133	991	1968
134	998	1959
135	1004	1949
136	1011	1941
137	1017	1931
138	1023	1922
139	1030	1913
140	1036	1904
141	1042	1893
142	1048	1884
143	1055	1876
144	1061	1866
145	1068	1858
146	1074	1849
147	1080	1840
148	1087	1831
149	1093	1822
150	1099	1813
151	1106	1805
152	1113	1797
153	1119	1788
154	1126	1780
155	1133	1773
156	1145	1772
157	1155	1769
158	1164	1764
159	1170	1756
160	1189	1765
161	1195	1756
162	1202	1748
163	1209	1740
164	1216	1731
165	1222	1723
166	1228	1714
167	1234	1705
168	1241	1696
169	1247	1687
170	1253	1678
171	1267	1679
172	1274	1672
173	1291	1677
174	1310	1684
